dietcoke@OMEN:mnt/../../../transpose 10.154s $ ./main 4096
simple_transpose run 1: 1.794 ms (correct)
simple_transpose run 2: 1.750 ms (correct)
simple_transpose run 3: 1.750 ms (correct)
simple_transpose run 4: 1.751 ms (correct)
simple_transpose run 5: 1.750 ms (correct)
smem_transpose run 1: 0.926 ms (correct)
smem_transpose run 2: 0.922 ms (correct)
smem_transpose run 3: 0.923 ms (correct)
smem_transpose run 4: 0.923 ms (correct)
smem_transpose run 5: 0.924 ms (correct)

dietcoke@OMEN:mnt/../../../transpose 2.602s $ ./main 8192
simple_transpose run 1: 6.995 ms (correct)
simple_transpose run 2: 6.968 ms (correct)
simple_transpose run 3: 6.968 ms (correct)
simple_transpose run 4: 6.968 ms (correct)
simple_transpose run 5: 6.968 ms (correct)
smem_transpose run 1: 3.692 ms (correct)
smem_transpose run 2: 3.688 ms (correct)
smem_transpose run 3: 3.686 ms (correct)
smem_transpose run 4: 3.688 ms (correct)
smem_transpose run 5: 3.692 ms (correct)

dietcoke@OMEN:mnt/../../../transpose main 12.24s $ ./main 16384
simple_transpose run 1: 26.747 ms (correct)
simple_transpose run 2: 26.748 ms (correct)
simple_transpose run 3: 26.443 ms (correct)
simple_transpose run 4: 26.444 ms (correct)
simple_transpose run 5: 26.445 ms (correct)
smem_transpose run 1: 15.016 ms (correct)
smem_transpose run 2: 15.023 ms (correct)
smem_transpose run 3: 15.011 ms (correct)
smem_transpose run 4: 15.013 ms (correct)
smem_transpose run 5: 15.018 ms (correct)
smem_transpose_banked run 1: 14.949 ms (correct)
smem_transpose_banked run 2: 14.954 ms (correct)
smem_transpose_banked run 3: 14.946 ms (correct)
smem_transpose_banked run 4: 14.944 ms (correct)
smem_transpose_banked run 5: 14.956 ms (correct)
